 Cripple  Creek  Bar-Room  Scene,'Short'|  'Western'|1800's|short|less  than  5  minutes,Jack  and  the  Beanstalk,'Short'|  'short',The  Burglar  on  the  Roof,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Deserter,'Drama'|  'Short'|1800's|short|less  than  5  minutes,The  Lady  and  the  Burglar,'Drama'|  'Short'|  'short',The  Waterer  Watered,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Express  Train  on  a  Railway  Cutting,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Romance  of  a  Jewess,'Short'|  'short',A  Sea  Cave  Near  Lisbon,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Faust  and  Mephistopheles,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,The  Haunted  Curiosity  Shop,'Fantasy'|  'short'|  'less  than  5  minutes',The  Photographical  Congress  Arrives  in  Lyon,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Glasgow  Fire  Engine,'Short'|1800's|short|less  than  5  minutes,The  Ingrate,'Short'|  'short',A  Badly  Managed  Hotel,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Indian  War  Council,'News'|  'Short'|1800's|short|less  than  5  minutes,The  Maniac  Cook,'Short'|  'short',The  Cave  of  the  Demons,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Miller  and  Chimney  Sweep,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Terror,,Rescue  on  the  River    Pt.  1,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Photographing  a  Ghost,'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Devil's  Seven  Castles,'Short'|  'Horror'|  'short',The  Wandering  Negro  Minstrels,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Novice  at  X-rays,'Short'|1800's|short|less  than  5  minutes,The  Bandit  Makes  Good,'Short'|  'short',The  Soldier's  Courtship,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Astronomer's  Dream;  or    the  Man  in  the  Moon,'Comedy'|  'Fantasy'|  'Horror'|1800's|short|less  than  5  minutes,Fishing  for  Goldfish,1800's|  'short'|  'less  than  5  minutes',The  Ball  Game,'short' 
 Tearing  Down  the  Spanish  Flag,'Short'|  'War'|1800's|short|less  than  5  minutes,The  Jealous  Husband,'Short'|  'short',The  Haunted  Castle, 
